timestamp,tx,ty,tz,vx,vy,vz
0.0,0.08312,0.46529,-0.5611,,,
0.1,0.10778,0.49733,-0.52509,0.2466,0.32040000000000013,0.360100000000001
0.2,0.14227,0.51815,-0.47645,0.34490000000000004,0.20820000000000005,0.4863999999999996
0.3,0.1577,0.52431,-0.42075,0.15430000000000002,0.06160000000000056,0.5569999999999998
0.4,0.18045,0.52961,-0.36707,0.22749999999999984,0.05299999999999969,0.5367999999999998
0.5,0.19404,0.50781,-0.31943,0.13589999999999994,-0.21800000000000047,0.47640000000000027
0.6,0.20461,0.47123,-0.24595,0.10569999999999999,-0.36580000000000007,0.7348
0.7,0.21739,0.44461,-0.2227,0.12780000000000016,-0.2661999999999998,0.23249999999999998
0.8,0.2057,0.41468,-0.16866,-0.11689999999999996,-0.29929999999999984,0.5403999999999995
0.9,0.17935,0.37803,-0.14353,-0.2634999999999999,-0.3665000000000002,0.2513000000000002
1.0,0.17058,0.34043,-0.12478,-0.08770000000000001,-0.3759999999999998,0.18749999999999992
1.1,0.14579,0.27307,-0.09172,-0.24789999999999984,-0.6735999999999998,0.3305999999999998
1.2,0.15605,0.22735,-0.07429,0.10260000000000005,-0.45720000000000044,0.17430000000000023
1.3,0.11258,0.20311,-0.06424,-0.4346999999999996,-0.24239999999999962,0.10049999999999981
1.4,0.09629,0.16949,-0.03881,-0.1629000000000002,-0.33620000000000055,0.2543000000000004
1.5,0.0713,0.12131,-0.03051,-0.24989999999999976,-0.48179999999999956,0.08299999999999991
1.6,0.02168,0.09965,-0.02575,-0.49619999999999953,-0.2165999999999998,0.04759999999999996
1.7,0.03359,0.03832,-0.0144,0.11910000000000016,-0.6133000000000008,0.11350000000000014
1.8,0.0019,1e-05,-0.00743,-0.31689999999999974,-0.3830999999999996,0.06969999999999993
1.9,-0.02796,-0.03931,-0.00474,-0.29860000000000037,-0.39320000000000055,0.02690000000000003
2.0,-0.04698,-0.05594,-0.00632,-0.19019999999999984,-0.16629999999999984,-0.015799999999999984
2.1,-0.05756,-0.10953,0.00538,-0.1057999999999999,-0.5358999999999996,0.1169999999999999
2.2,-0.087,-0.15369,0.03302,-0.29439999999999966,-0.4415999999999995,0.27639999999999976
2.3,-0.09785,-0.18961,0.05463,-0.10850000000000051,-0.35920000000000135,0.21610000000000074
2.4,-0.13153,-0.22913,0.06734,-0.3367999999999997,-0.39519999999999966,0.12709999999999988
2.5,-0.15958,-0.27575,0.07158,-0.2804999999999997,-0.46619999999999956,0.04240000000000004
2.6,-0.1662,-0.31025,0.1016,-0.06619999999999981,-0.345,0.30019999999999963
2.7,-0.18154,-0.35291,0.12728,-0.15340000000000006,-0.42659999999999937,0.25679999999999986
2.8,-0.21022,-0.3806,0.16855,-0.28680000000000083,-0.2769000000000009,0.41270000000000145
2.9,-0.20157,-0.43042,0.20279,0.08649999999999983,-0.49819999999999987,0.34239999999999965
3.0,-0.19442,-0.46825,0.24223,0.07149999999999983,-0.3782999999999994,0.3943999999999997
3.1,-0.21014,-0.49294,0.31996,-0.1571999999999997,-0.24689999999999968,0.7772999999999995
